S&P Comp.,Dividend,Earnings,CPI,Long Interest Rate GS10,Real Price,Real Dividend,Real Total Return Price,Real Earnings,Real TR Scaled Earnings,CAPE,TR CAPE,Monthly Total Bond Returns,Real Total Bond Returns
5.11,0.21,0.39,9.99,4.02,160.74,6.45,284.34,12.24,21.66,17.514257540603246,20.934953596287702,1.01,2.14
5.20,0.21,0.4,9.99,3.99,163.57,6.61,290.33,12.53,22.24,17.514257540603246,20.934953596287702,1.01,2.15
5.30,0.22,0.41,10.09,3.97,165.14,6.7,294.11,12.7,22.61,17.514257540603246,20.934953596287702,1.01,2.14
5.18,0.22,0.42,9.7,3.94,167.73,7.12,299.78,13.49,24.12,17.514257540603246,20.934953596287702,1.01,2.24
4.77,0.23,0.43,9.42,3.91,159.14,7.51,285.54,14.21,25.49,17.514257540603246,20.934953596287702,1.01,2.32
4.79,0.23,0.44,9.23,3.89,163.1,7.83,293.82,14.81,26.68,17.514257540603246,20.934953596287702,1.01,2.38
5.01,0.24,0.44,9.23,3.86,170.59,8.0,308.51,15.13,27.35,17.514257540603246,20.934953596287702,1.01,2.39
5.19,0.24,0.45,9.23,3.83,176.72,8.17,320.83,15.44,28.02,17.514257540603246,20.934953596287702,1.01,2.41
5.18,0.25,0.46,9.32,3.81,174.58,8.26,318.19,15.59,28.41,17.514257540603246,20.934953596287702,1.01,2.4
5.18,0.25,0.46,9.32,3.81,174.58,8.26,318.19,15.59,28.41,17.514257540603246,20.934953596287702,1.01,2.4
5.61,0.26,0.48,9.42,3.75,187.16,8.51,343.75,16.04,29.46,17.514257540603246,20.934953596287702,1.01,2.4
5.84,0.26,0.49,9.51,3.73,192.89,8.59,355.58,16.18,29.83,17.514257540603246,20.934953596287702,1.01,2.39
6.19,0.27,0.49,9.42,3.7,206.51,8.84,382.06,16.21,29.98,18.47,24.14,1.0,2.42
6.17,0.27,0.48,9.51,3.69,203.79,8.92,378.39,15.91,29.54,18.15,23.66,1.0,2.41
6.24,0.28,0.48,9.51,3.69,206.1,9.08,384.09,15.77,29.39,18.27,23.77,1.0,2.42
6.22,0.28,0.47,9.61,3.68,203.41,9.16,380.49,15.48,28.95,17.95,23.31,1.0,2.4
6.50,0.29,0.47,9.51,3.67,214.69,9.41,403.06,15.5,29.09,18.87,24.46,1.0,2.43
6.58,0.29,0.47,9.51,3.67,217.33,9.58,409.52,15.36,28.94,19.03,24.62,1.0,2.44
6.35,0.3,0.46,9.61,3.66,207.66,9.65,392.81,15.07,28.51,18.12,23.4,1.0,2.43
6.20,0.3,0.46,9.8,3.65,198.81,9.62,377.6,14.64,27.81,17.29,22.29,1.0,2.39
6.25,0.31,0.45,10.18,3.65,192.93,9.41,367.9,13.97,26.64,16.72,21.54,1.0,2.31
6.25,0.31,0.45,10.18,3.65,192.93,9.41,367.9,13.97,26.64,16.72,21.54,1.0,2.31
6.19,0.32,0.44,10.18,3.63,191.07,9.72,367.46,13.71,26.37,16.48,21.19,1.0,2.32
6.01,0.32,0.44,10.18,3.63,185.52,9.88,358.35,13.58,26.24,15.96,20.51,1.0,2.33
5.92,0.32,0.44,10.18,3.62,182.74,9.88,354.58,13.56,26.31,15.68,20.14,1.0,2.34
5.79,0.32,0.44,10.28,3.62,177.07,9.79,345.16,13.4,26.13,15.15,19.46,1.0,2.33
5.78,0.32,0.44,10.28,3.62,176.76,9.79,346.15,13.38,26.2,15.09,19.38,1.0,2.33
5.78,0.32,0.44,10.37,3.62,175.14,9.7,344.56,13.23,26.03,14.92,19.15,1.0,2.32
5.71,0.32,0.44,10.47,3.62,171.45,9.61,338.87,13.09,25.86,14.57,18.7,1.0,2.3
5.68,0.32,0.44,10.56,3.62,169.01,9.52,335.62,12.94,25.7,14.33,18.39,1.0,2.29
6.00,0.32,0.43,10.47,3.63,180.16,9.61,359.34,13.04,26.0,15.24,19.56,1.0,2.32
6.18,0.32,0.43,10.56,3.63,183.89,9.52,368.37,12.89,25.83,15.53,19.91,1.0,2.3
6.24,0.32,0.43,10.28,3.63,190.83,9.79,383.91,13.23,26.61,16.08,20.62,1.0,2.37
6.24,0.32,0.43,10.28,3.63,190.83,9.79,383.91,13.23,26.61,16.08,20.62,1.0,2.37
5.81,0.32,0.43,10.09,3.63,181.04,9.97,367.48,13.42,27.25,15.19,19.47,1.0,2.43
5.84,0.32,0.43,9.99,3.63,183.7,10.07,374.6,13.53,27.58,15.38,19.7,1.0,2.46
5.81,0.32,0.43,9.99,3.63,182.76,10.09,374.39,13.45,27.55,15.27,19.56,1.0,2.47
5.68,0.32,0.43,10.09,3.63,176.98,10.02,364.27,13.24,27.26,14.76,18.9,1.0,2.45
5.75,0.32,0.42,9.99,3.63,180.87,10.14,374.01,13.29,27.48,15.05,19.27,1.0,2.49
5.87,0.32,0.42,9.9,3.63,186.42,10.27,387.26,13.34,27.71,15.48,19.82,1.0,2.52
5.77,0.32,0.42,9.8,3.63,185.03,10.4,386.16,13.39,27.94,15.34,19.63,1.0,2.55
5.82,0.33,0.42,9.51,3.63,192.23,10.73,403.05,13.71,28.74,15.9,20.36,1.0,2.63
5.73,0.33,0.41,9.32,3.63,193.12,10.98,406.84,13.9,29.29,15.95,20.41,1.0,2.7
5.47,0.33,0.41,9.32,3.62,184.35,11.01,390.31,13.82,29.26,15.2,19.45,1.0,2.7
5.53,0.33,0.41,9.23,3.62,188.3,11.15,400.63,13.88,29.52,15.49,19.83,1.0,2.74
5.53,0.33,0.41,9.23,3.62,188.3,11.15,400.63,13.88,29.52,15.49,19.83,1.0,2.74
